raceId,constructorId,mean_pit_stop
909,15,20.696
909,131,19.962
909,206,21.208
909,207,21.396
909,208,19.051
910,1,23.423
910,3,22.974
910,5,23.139
910,6,22.314
910,9,22.399
910,10,24.788
910,15,26.169
910,131,23.171
910,206,24.096
910,207,34.086
910,208,25.195
911,1,22.729
911,3,23.439
911,5,23.823
911,6,24.393
911,9,22.862
911,10,23.686
911,15,23.485
911,131,24.955
911,206,24.472
911,207,24.148
911,208,25.554
912,1,24.441
912,3,24.657
912,5,24.848
912,6,24.73
912,9,24.782
912,10,25.242
912,15,26.446
912,131,24.518
912,206,26.641
912,207,26.981
912,208,24.66
913,1,28.7
913,3,29.451
913,5,31.099
913,6,29.296
913,9,29.438
913,10,30.553
913,15,30.996
913,131,29.915
913,206,31.442
913,207,30.254
913,208,29.448
914,1,272.845
914,3,395.402
914,5,342.319
914,6,396.488
914,9,394.583
914,10,302.568
914,15,342.289
914,131,394.99
914,206,395.138
914,207,270.536
914,208,270.183
915,1,29.865
915,3,30.184
915,5,30.726
915,6,32.604
915,9,30.181
915,10,29.986
915,15,30.518
915,131,32.162
915,206,31.374
915,207,30.89
915,208,30.108
916,1,25.432
916,3,24.594
916,5,26.087
916,6,24.193
916,9,24.046
916,10,33.427
916,15,26.977
916,131,24.39
916,208,25.673
917,1,23.4
917,3,27.544
917,5,24.384
917,6,24.17
917,9,23.152
917,10,24.47
917,15,24.994
917,131,23.461
917,208,23.586
918,1,22.095
918,3,21.942
918,5,23.049
918,6,21.86
918,9,22.008
918,10,23.361
918,15,22.679
918,131,22.399
918,207,23.634
918,208,20.348
926,1,23.353
926,3,22.062
926,5,39.66
926,6,24.188
926,9,22.535
926,10,23.253
926,15,22.805
926,131,22.2
927,1,27.419
927,3,26.196
927,5,26.046
927,6,25.154
927,9,26.517
927,10,29.454
927,15,27.548
927,131,26.244
927,208,28.995
927,209,27.915
928,1,23.448
928,3,23.282
928,5,23.683
928,6,22.551
928,9,22.766
928,10,23.104
928,15,23.894
928,131,22.548
928,208,22.061
928,209,24.553
929,1,25.124
929,3,24.957
929,5,31.451
929,6,26.44
929,9,25.195
929,10,25.434
929,15,29.803
929,131,25.262
929,208,42.425
929,209,26.497
930,1,23.428
930,3,22.181
930,5,23.01
930,6,22.002
930,9,23.066
930,10,22.526
930,15,23.502
930,131,22.72
930,208,27.315
930,209,23.738
931,1,26.689
931,3,28.27
931,5,34.621
931,6,24.514
931,9,24.621
931,10,27.346
931,15,25.68
931,131,24.822
931,208,25.077
931,209,28.08
932,1,22.328
932,3,24.726
932,5,30.191
932,6,24.848
932,9,23.839
932,10,23.48
932,15,24.472
932,131,23.514
932,208,23.976
932,209,28.896
933,1,26.416
933,3,22.612
933,5,24.811
933,6,31.882
933,9,26.151
933,10,24.187
933,15,22.924
933,131,21.818
933,208,21.932
933,209,23.926
934,1,44.158
934,3,30.509
934,5,29.393
934,6,29.634
934,9,33.508
934,10,30.827
934,15,30.122
934,131,29.046
934,209,39.546
936,1,19.757
936,3,21.385
936,5,20.376
936,6,23.977
936,9,21.151
936,10,22.998
936,15,20.821
936,131,20.951
936,208,20.664
936,209,21.291
937,1,24.044
937,3,22.218
937,5,23.525
937,6,22.801
937,9,22.665
937,10,23.24
937,15,23.648
937,131,22.78
937,208,23.605
937,209,23.8
938,1,22.671
938,3,25.372
938,5,24.834
938,6,24.391
938,9,24.072
938,10,24.284
938,15,25.295
938,131,24.512
938,209,27.908
939,1,41.87
939,3,28.84
939,5,31.33
939,6,29.791
939,9,30.702
939,10,30.092
939,15,29.688
939,131,29.789
939,208,29.889
939,209,32.865
940,1,23.638
940,3,26.54
940,5,28.704
940,6,23.126
940,9,23.838
940,10,26.102
940,15,23.934
940,131,23.058
940,208,24.109
940,209,27.103
941,1,29.629
941,3,30.528
941,5,32.621
941,6,29.376
941,9,30.075
941,10,30.545
941,15,30.362
941,131,30.216
941,208,42.198
941,209,32.631
942,1,26.477
942,3,30.506
942,5,29.422
942,6,26.807
942,9,25.318
942,10,26.473
942,15,29.138
942,131,24.581
942,208,26.74
942,209,30.027
943,1,23.187
943,3,23.013
943,5,23.109
943,6,25.113
943,9,22.497
943,10,23.653
943,15,23.328
943,131,22.332
943,208,24.105
943,209,26.28
944,1,23.486
944,3,23.973
944,5,24.132
944,6,23.947
944,9,24.095
944,10,23.881
