year,race_name,constructor_name,total_stops,mean_pit_stop,delta_pit_stop,race_points,season_points,championship_standing,target_top5
2011,Italian Grand Prix,Force India,2,22.47,-41.937,4.0,36.0,6.0,0
2011,Italian Grand Prix,Sauber,2,25.245,-39.162,0.0,35.0,7.0,0
2011,Italian Grand Prix,Toro Rosso,4,23.147,-41.26,7.0,29.0,8.0,0
2011,Italian Grand Prix,Williams,4,24.562,-39.845,0.0,5.0,9.0,0
2011,Italian Grand Prix,Lotus,4,24.93,-39.477,0.0,0.0,10.0,0
2011,Italian Grand Prix,HRT,2,517.747,453.34,0.0,0.0,11.0,0
2011,Italian Grand Prix,Virgin,2,23.966,-40.441,0.0,0.0,12.0,0
2011,Singapore Grand Prix,Red Bull,6,30.618,-0.664,40.0,491.0,1.0,1
2011,Singapore Grand Prix,McLaren,8,29.865,-1.417,28.0,353.0,2.0,1
2011,Singapore Grand Prix,Ferrari,7,30.726,-0.556,14.0,268.0,3.0,1
2011,Singapore Grand Prix,Mercedes,5,29.662,-1.62,6.0,114.0,4.0,1
2011,Singapore Grand Prix,Renault,7,32.284,1.002,0.0,70.0,5.0,1
2011,Singapore Grand Prix,Force India,4,31.151,-0.131,12.0,48.0,6.0,0
2011,Singapore Grand Prix,Sauber,6,30.301,-0.981,1.0,36.0,7.0,0
2011,Singapore Grand Prix,Toro Rosso,6,30.674,-0.608,0.0,29.0,8.0,0
2011,Singapore Grand Prix,Williams,5,30.51,-0.772,0.0,5.0,9.0,0
2011,Singapore Grand Prix,Lotus,6,31.76,0.478,0.0,0.0,10.0,0
2011,Singapore Grand Prix,HRT,7,36.153,4.871,0.0,0.0,11.0,0
2011,Singapore Grand Prix,Virgin,2,31.678,0.396,0.0,0.0,12.0,0
2011,Japanese Grand Prix,Red Bull,6,21.72,-0.44,27.0,518.0,1.0,1
2011,Japanese Grand Prix,McLaren,6,21.335,-0.825,35.0,388.0,2.0,1
2011,Japanese Grand Prix,Ferrari,6,21.137,-1.023,24.0,292.0,3.0,1
2011,Japanese Grand Prix,Mercedes,6,21.028,-1.132,9.0,123.0,4.0,1
2011,Japanese Grand Prix,Renault,4,22.632,0.472,2.0,72.0,5.0,1
2011,Japanese Grand Prix,Force India,6,21.695,-0.465,0.0,48.0,6.0,0
2011,Japanese Grand Prix,Sauber,4,23.17,1.01,4.0,40.0,7.0,0
2011,Japanese Grand Prix,Toro Rosso,3,22.075,-0.085,0.0,29.0,8.0,0
2011,Japanese Grand Prix,Williams,6,21.697,-0.463,0.0,5.0,9.0,0
2011,Japanese Grand Prix,Lotus,6,21.915,-0.245,0.0,0.0,10.0,0
2011,Japanese Grand Prix,HRT,6,24.233,2.073,0.0,0.0,11.0,0
2011,Japanese Grand Prix,Virgin,6,23.284,1.124,0.0,0.0,12.0,0
2011,Korean Grand Prix,Red Bull,4,20.446,-1.334,40.0,558.0,1.0,1
2011,Korean Grand Prix,McLaren,4,20.738,-1.042,30.0,418.0,2.0,1
2011,Korean Grand Prix,Ferrari,4,21.585,-0.195,18.0,310.0,3.0,1
2011,Korean Grand Prix,Mercedes,3,20.367,-1.413,4.0,127.0,4.0,1
2011,Korean Grand Prix,Renault,3,21.511,-0.269,0.0,72.0,5.0,1
2011,Korean Grand Prix,Force India,4,22.468,0.688,1.0,49.0,6.0,0
2011,Korean Grand Prix,Sauber,6,22.209,0.429,0.0,40.0,7.0,0
2011,Korean Grand Prix,Toro Rosso,4,22.179,0.399,8.0,37.0,8.0,0
2011,Korean Grand Prix,Williams,5,20.331,-1.449,0.0,5.0,9.0,0
2011,Korean Grand Prix,Lotus,4,22.478,0.698,0.0,0.0,10.0,0
2011,Korean Grand Prix,HRT,5,23.465,1.685,0.0,0.0,11.0,0
2011,Korean Grand Prix,Virgin,4,23.583,1.803,0.0,0.0,12.0,0
2011,Indian Grand Prix,Red Bull,4,21.374,-2.53,37.0,595.0,1.0,1
2011,Indian Grand Prix,McLaren,5,22.965,-0.939,24.0,442.0,2.0,1
2011,Indian Grand Prix,Ferrari,5,21.603,-2.301,15.0,325.0,3.0,1
2011,Indian Grand Prix,Mercedes,4,21.626,-2.278,18.0,145.0,4.0,1
2011,Indian Grand Prix,Renault,4,23.381,-0.523,0.0,72.0,5.0,1
2011,Indian Grand Prix,Force India,5,22.012,-1.892,2.0,51.0,6.0,0
2011,Indian Grand Prix,Sauber,2,23.732,-0.172,1.0,41.0,7.0,0
2011,Indian Grand Prix,Toro Rosso,3,22.84,-1.064,4.0,41.0,8.0,0
2011,Indian Grand Prix,Williams,2,27.994,4.09,0.0,5.0,9.0,0
2011,Indian Grand Prix,Lotus,5,26.401,2.497,0.0,0.0,10.0,0
2011,Indian Grand Prix,HRT,5,28.746,4.842,0.0,0.0,11.0,0
2011,Indian Grand Prix,Virgin,3,24.179,0.275,0.0,0.0,12.0,0
2011,Abu Dhabi Grand Prix,Red Bull,3,21.569,-0.043,12.0,607.0,1.0,1
2011,Abu Dhabi Grand Prix,McLaren,4,20.0,-1.612,40.0,482.0,2.0,1
2011,Abu Dhabi Grand Prix,Ferrari,4,20.508,-1.104,28.0,353.0,3.0,1
2011,Abu Dhabi Grand Prix,Mercedes,4,19.998,-1.614,14.0,159.0,4.0,1
2011,Abu Dhabi Grand Prix,Renault,5,18.975,-2.637,0.0,72.0,5.0,1
2011,Abu Dhabi Grand Prix,Force India,3,20.395,-1.217,6.0,57.0,6.0,0
2011,Abu Dhabi Grand Prix,Sauber,4,21.894,0.282,1.0,42.0,7.0,0
2011,Abu Dhabi Grand Prix,Toro Rosso,2,32.468,10.856,0.0,41.0,8.0,0
2011,Abu Dhabi Grand Prix,Williams,4,19.463,-2.149,0.0,5.0,9.0,0
2011,Abu Dhabi Grand Prix,Lotus,4,20.853,-0.759,0.0,0.0,10.0,0
2011,Abu Dhabi Grand Prix,HRT,3,22.044,0.432,0.0,0.0,11.0,0
2011,Abu Dhabi Grand Prix,Virgin,2,21.176,-0.436,0.0,0.0,12.0,0
2011,Brazilian Grand Prix,Red Bull,6,21.033,-0.764,43.0,650.0,1.0,1
2011,Brazilian Grand Prix,McLaren,6,21.134,-0.663,15.0,497.0,2.0,1
2011,Brazilian Grand Prix,Ferrari,5,20.988,-0.809,22.0,375.0,3.0,1
2011,Brazilian Grand Prix,Mercedes,5,21.813,0.016,6.0,165.0,4.0,1
2011,Brazilian Grand Prix,Renault,7,21.057,-0.74,1.0,73.0,5.0,1
2011,Brazilian Grand Prix,Force India,5,21.129,-0.668,12.0,69.0,6.0,0
2011,Brazilian Grand Prix,Sauber,4,22.476,0.679,2.0,44.0,7.0,0
2011,Brazilian Grand Prix,Toro Rosso,4,22.376,0.579,0.0,41.0,8.0,0
2011,Brazilian Grand Prix,Williams,4,21.832,0.035,0.0,5.0,9.0,0
2011,Brazilian Grand Prix,Lotus,5,22.103,0.306,0.0,0.0,10.0,0
2011,Brazilian Grand Prix,HRT,4,23.01,1.213,0.0,0.0,11.0,0
2011,Brazilian Grand Prix,Virgin,3,22.618,0.821,0.0,0.0,12.0,0
2012,Australian Grand Prix,McLaren,4,23.109,-1.439,40.0,40.0,1.0,1
2012,Australian Grand Prix,Red Bull,4,23.651,-0.897,30.0,30.0,2.0,1
2012,Australian Grand Prix,Sauber,3,24.463,-0.085,12.0,12.0,3.0,1
2012,Australian Grand Prix,Ferrari,5,22.178,-2.37,10.0,10.0,4.0,1
2012,Australian Grand Prix,Lotus F1,2,24.096,-0.452,6.0,6.0,5.0,1
2012,Australian Grand Prix,Toro Rosso,5,25.339,0.791,2.0,2.0,6.0,0
2012,Australian Grand Prix,Force India,2,24.756,0.208,1.0,1.0,7.0,0
2012,Australian Grand Prix,Mercedes,2,23.11,-1.438,0.0,0.0,8.0,0
2012,Australian Grand Prix,Williams,5,25.171,0.623,0.0,0.0,9.0,0
2012,Australian Grand Prix,Marussia,5,28.549,4.001,0.0,0.0,10.0,0
2012,Australian Grand Prix,Caterham,4,25.611,1.063,0.0,0.0,11.0,0
2012,Malaysian Grand Prix,McLaren,8,26.538,0.694,15.0,55.0,1.0,1
2012,Malaysian Grand Prix,Red Bull,7,24.671,-1.173,12.0,42.0,2.0,1
2012,Malaysian Grand Prix,Ferrari,7,24.081,-1.763,25.0,35.0,3.0,1
2012,Malaysian Grand Prix,Sauber,6,25.462,-0.382,18.0,30.0,4.0,1
2012,Malaysian Grand Prix,Lotus F1,3,25.857,0.013,10.0,16.0,5.0,1
2012,Malaysian Grand Prix,Force India,6,23.297,-2.547,8.0,9.0,6.0,0
2012,Malaysian Grand Prix,Williams,8,25.077,-0.767,8.0,8.0,7.0,0
2012,Malaysian Grand Prix,Toro Rosso,6,23.971,-1.873,4.0,6.0,8.0,0
2012,Malaysian Grand Prix,Mercedes,7,24.024,-1.82,1.0,1.0,9.0,0
2012,Malaysian Grand Prix,Marussia,6,29.038,3.194,0.0,0.0,10.0,0
2012,Malaysian Grand Prix,Caterham,7,28.586,2.742,0.0,0.0,11.0,0
2012,Malaysian Grand Prix,HRT,5,29.526,3.682,0.0,0.0,12.0,0
